NumberPlate	Date	Time
	2024-06-12 22:56:24
B 2817 Y	2024-06-12 22:56:57
IB 1725 HKI	2024-06-12 22:57:23
B 2005 TTY	2024-06-12 22:57:50
B 1122 EW	2024-06-12 22:58:11
B2506 UYF	2024-06-12 22:58:34
B 1571 PJJ	2024-06-12 22:58:56
BM 1783	2024-06-12 22:59:25
	2024-06-12 22:59:48
D 1211 YV	2024-06-12 23:00:07
